Date,Open,High,Low,Close,Volume,Adj Close
2014-08-11,95.269997,98.190002,94.839996,97.980003,35872600,93.834869
2014-08-04,96.370003,96.580002,93.279999,94.739998,44605000,90.731934
2014-07-28,97.82,99.440002,94.809998,96.129997,47365000,91.607468
2014-07-21,94.989998,97.879997,93.720001,97.669998,55278400,93.075012
2014-07-14,95.860001,97.099998,92.57,94.43,49794000,89.98745
2014-07-07,94.139999,96.800003,93.519997,95.220001,46366000,90.74028
2014-06-30,92.099998,94.099998,92.089996,94.029999,34765500,89.606262
2014-06-23,91.32,92.00,89.650002,91.980003,43251400,87.65271
2014-06-16,91.510002,92.75,90.900002,90.910004,47045400,86.633049
2014-06-09,92.699997,95.050003,90.879997,91.279999,58629400,86.985641
2014-06-02,633.959961,651.26001,622.50,645.570007,82564300,87.885506
2014-05-27,615.880005,644.169983,615.630005,633.00,100302600,86.174271
2014-05-19,597.849976,614.72998,597.329956,614.130005,59121000,83.605377
2014-05-12,587.48999,597.529968,585.400024,597.51001,52322600,81.342796
2014-05-05,590.140015,604.409973,580.330017,585.540039,73319500,79.713242
2014-04-28,572.800049,599.429993,572.549988,592.580017,94953300,80.223564
2014-04-21,525.339966,571.98999,523.959961,571.940002,96511900,77.429314
2014-04-14,521.900024,527.76001,511.329987,524.940002,60704000,71.066452
2014-04-07,528.02002,532.23999,517.140015,519.610046,62563900,70.344879
2014-03-31,539.230042,543.47998,530.580017,531.820007,49372200,71.997871
2014-03-24,538.420044,549.00,534.25,536.859985,68017800,72.680176
2014-03-17,527.699951,536.23999,525.200012,532.869995,60819600,72.140015
2014-03-10,528.360046,539.659973,523.00,524.690002,57603800,71.0326
2014-03-03,523.419983,534.75,522.809998,530.440002,55210100,71.811043
2014-02-24,523.150024,532.75,515.599976,526.23999,73546400,71.242439
2014-02-18,546.00,551.190002,524.599976,525.25,72416400,71.108421
2014-02-10,518.659973,545.980042,518.00,543.98999,75811900,73.645447
2014-02-03,502.610016,522.929993,499.300018,519.679993,86726700,70.354347
2014-01-27,550.070007,554.799988,493.549988,500.599976,163325500,67.36805
2014-01-21,540.98999,557.289978,540.419983,546.070007,96319100,73.48716
2014-01-13,529.910034,560.200012,529.880005,540.669983,87935500,72.760452
2014-01-06,537.450012,546.859985,531.109985,532.940002,78623700,71.720192
2013-12-30,557.460022,561.279968,540.429993,540.980042,68991600,72.802177
2013-12-23,568.00,571.880005,559.50,560.089966,68672100,75.373894
2013-12-16,555.02002,562.640015,538.799988,549.02002,91754000,73.884148
2013-12-09,560.900024,570.970032,553.669983,554.429993,77679700,74.612198
2013-12-02,558.00,575.140015,550.819946,560.019958,104662700,75.364471
2013-11-25,521.02002,558.330017,521.00,556.069946,82016900,74.832901
2013-11-18,524.98999,527.190002,513.670044,519.799988,56677600,69.951881
2013-11-11,519.98999,529.279968,514.410034,524.98999,61464400,70.65033
2013-11-04,521.099976,528.890015,512.380005,520.559998,63757600,70.054161
2013-10-28,529.039978,539.25,514.539978,520.030029,104549900,69.576622
2013-10-21,511.77002,533.22998,508.029999,525.960022,98422500,70.370018
2013-10-14,489.830017,509.259979,489.350006,508.889984,68860400,68.086159
2013-10-07,486.559967,493.839966,478.279999,492.809998,72563800,65.934761
2013-09-30,477.25,492.350006,474.410004,483.030029,74242200,64.626266
2013-09-23,496.100006,496.910004,480.720001,482.75,95433500,64.588799
2013-09-16,460.999969,478.550018,447.220001,467.410004,125189600,62.536407
2013-09-09,505.000031,507.919983,464.699982,464.899994,134273300,62.200584
2013-09-03,493.099976,502.240021,487.350006,498.220001,79553400,66.658585
2013-08-26,500.75,510.199982,486.00,487.220032,78735800,65.186859
2013-08-19,504.339966,513.73999,498.199982,501.02002,83601200,67.033211
2013-08-12,456.860016,504.25,456.630005,502.330017,142767300,67.208473
2013-08-05,464.690002,471.890015,453.650024,454.449982,73760600,60.802441
2013-07-29,440.799988,462.850006,440.200012,462.539978,68073600,61.478905
2013-07-22,429.459991,444.589996,418.710022,440.990021,79938700,58.614571
2013-07-15,425.01001,434.869995,424.170013,424.949982,57252300,56.482597
2013-07-08,420.109985,429.790009,410.380005,426.51001,76899200,56.689949
2013-07-01,402.690002,423.290009,401.220001,417.419983,85992000,55.481743
2013-06-24,407.399994,408.660004,388.869995,396.529999,103919700,52.705132
2013-06-17,431.440002,435.700012,408.100006,413.50,80190400,54.960716
2013-06-10,444.72998,449.080017,428.50,430.049988,77959500,57.160469
2013-06-03,450.72998,454.429993,432.77002,441.809998,88857000,58.72356
2013-05-28,449.900024,457.100037,439.399994,449.730042,90909000,59.776257
2013-05-20,431.910004,448.350037,430.099976,445.149994,98991300,59.1675
2013-05-13,451.509979,457.899994,418.899994,433.26001,126839400,57.587132
2013-05-06,455.709961,465.75,450.480011,452.970001,109316600,60.206902
2013-04-29,420.450012,453.230042,420.00,449.980011,131095100,59.41621
2013-04-22,392.639984,418.77002,391.269989,417.199982,160637200,55.087875
2013-04-15,427.00,427.890015,385.100006,390.529999,142196000,51.566319
2013-04-08,424.849976,437.98999,422.48999,429.800018,77517400,56.751606
2013-04-01,441.899994,443.700012,419.679993,423.199982,101230500,55.880127
2013-03-25,464.690002,469.949982,441.619995,442.660004,98094100,58.449665
2013-03-18,441.450012,462.099976,441.200012,461.910004,110999700,60.99147
2013-03-11,429.75,444.230011,425.140015,443.660004,114676600,58.581707
2013-03-04,427.799988,435.429993,419.00,431.720001,127069700,57.005123
2013-02-25,453.850006,455.119995,429.97998,430.470001,116819600,56.840073
2013-02-19,461.100006,462.730011,442.819977,450.809998,105620200,59.525803
2013-02-11,476.50,484.940002,459.920013,460.160004,117438500,60.760395
2013-02-04,453.909973,478.809998,442.00,474.980011,149095500,62.717258
2013-01-28,437.829987,462.600006,435.859985,453.619995,131632400,59.549786
2013-01-22,504.559998,514.98999,435.00,439.880005,249495900,57.746044
2013-01-14,502.680023,510.75,483.379974,500.00,161419300,65.638405
2013-01-07,522.00,531.890015,515.200012,520.300049,115106000,68.303329
2012-12-31,510.529968,555.00,509.00,527.00,135456800,69.182877
2012-12-24,520.350037,524.25,504.659973,509.589966,80474200,66.897346
2012-12-17,508.929993,534.899963,501.230011,519.330017,145530900,68.175987
2012-12-10,525.00,549.559998,505.580017,509.789978,167240600,66.923607
2012-12-03,593.650024,594.590027,518.630005,533.25,196511900,70.003365
2012-11-26,575.900024,594.25,572.26001,585.279968,129539600,76.833694
2012-11-19,540.710022,572.00,539.880005,571.50,131993700,75.024704
2012-11-12,554.149963,554.50,505.75,527.679993,179136300,69.272148
2012-11-05,583.52002,590.73999,533.719971,547.059998,184188000,71.816292
2012-10-31,594.880005,603.00,574.75,576.799988,122556200,75.376198
2012-10-22,612.419983,635.380005,591.00,604.00,174358100,78.930687
2012-10-15,632.350037,652.789978,609.619995,609.840027,129601000,79.693863
2012-10-08,646.880005,647.559998,623.550049,629.710022,149652100,82.290474
2012-10-01,671.159973,676.75,650.649963,652.589966,128030000,85.280426
2012-09-24,686.859985,695.119995,660.350037,667.100037,143213000,87.176598
2012-09-17,699.349976,705.070007,693.619995,700.089966,100328300,91.487724
2012-09-10,680.450012,696.97998,656.00,691.280029,145152400,90.336433
2012-09-04,665.76001,682.480042,664.50,680.440002,89070600,88.919861
2012-08-27,679.98999,680.869995,657.25,665.23999,76912600,86.933533
2012-08-20,650.01001,674.880005,648.109985,663.219971,142444800,86.669556
2012-08-13,623.390015,648.190002,623.25,648.109985,78681900,84.694984
2012-08-06,617.290039,625.00,615.26001,621.700012,62691800,81.243721
2012-07-30,590.920044,617.980042,587.820007,615.700012,95152500,80.115669
2012-07-23,594.399963,609.679993,570.00,585.159973,137049500,76.141762
2012-07-16,605.119995,615.349976,603.149963,604.300049,84095900,78.632286
2012-07-09,605.299988,619.869995,592.679993,604.969971,105007700,78.71946
2012-07-02,584.730042,614.339966,583.599976,605.880005,96569900,78.837868
2012-06-25,577.299988,584.00,565.609985,584.00,74412600,75.990822
2012-06-18,570.959961,590.00,570.369995,582.099976,88579100,75.743591
2012-06-11,587.719971,588.50,566.700012,574.130005,100052600,74.70652
2012-06-04,561.50,580.580017,548.50,580.320007,103697400,75.511971
2012-05-29,570.900024,581.50,560.52002,560.98999,120162500,72.996727
2012-05-21,534.50,576.50,534.049988,562.289978,136780500,73.165886
2012-05-14,562.570007,567.51001,522.179993,530.380005,141968500,69.013718
2012-05-07,561.50,575.880005,558.72998,566.710022,108541000,73.74102
2012-04-30,597.799988,598.400024,565.169983,565.25,123253700,73.551048
2012-04-23,570.609985,618.00,555.00,603.00,194562300,78.463127
2012-04-16,610.059998,620.25,570.419983,572.97998,244827500,74.556885
2012-04-09,626.130005,644.00,603.51001,605.22998,182892900,78.753288
2012-04-02,601.830017,634.660034,600.380005,633.679993,165449300,82.455238
2012-03-26,599.790039,621.450012,595.26001,599.549988,159880400,78.014206
2012-03-19,598.369995,609.650024,589.049988,596.049988,170814900,77.558784
2012-03-12,548.97998,600.01001,547.00,585.570007,225109300,76.195107
2012-03-05,545.420044,547.73999,516.219971,545.170044,167663000,70.93821
2012-02-27,521.309998,548.209961,516.280029,545.179993,160748100,70.939514
2012-02-21,506.880005,522.899963,504.119995,522.409973,129499800,67.976646
2012-02-13,499.529999,526.290039,486.630005,502.119995,198204500,65.336494
2012-02-06,458.380005,497.619995,458.200012,493.419983,124452100,64.204437
2012-01-30,445.709991,460.00,445.390015,459.679993,75723300,59.814144
2012-01-23,422.669983,454.449982,419.549988,447.279999,121785400,58.200642
2012-01-17,424.199982,431.369995,419.75,420.300018,74712500,54.689968
2012-01-09,425.50,427.75,418.660004,419.809998,65295700,54.626209
2012-01-03,409.399994,422.75,409.00,422.399994,71987800,54.963223
2011-12-27,403.099976,409.089996,400.51001,405.00,55586100,52.699112
2011-12-19,382.470001,403.590027,380.480011,403.330017,65372500,52.481812
2011-12-12,391.679993,395.399994,377.679993,381.019989,86228100,49.578804
2011-12-05,393.48999,396.410004,386.759979,393.619995,80945200,51.218334
2011-11-28,372.349976,393.630005,370.200012,389.700012,94722100,50.708256
2011-11-21,370.400024,377.930023,363.320007,363.570007,96252100,47.308189
2011-11-14,383.519989,391.140015,374.880005,374.940002,103238200,48.78767
2011-11-07,399.910004,408.00,380.26001,384.619995,131397000,50.047241
2011-10-31,402.419983,409.330017,393.220001,400.23999,99412800,52.079735
2011-10-24,396.179993,409.00,393.150024,404.949982,110318800,52.692604
2011-10-17,421.740021,426.699982,390.75,392.869995,192111000,51.120743
2011-10-10,379.090027,422.00,378.209991,422.00,133502000,54.911175
2011-10-03,380.369995,384.779999,354.23999,369.799988,201864300,48.118843
2011-09-26,399.859985,409.25,381.179993,381.320007,153686900,49.61784
2011-09-19,397.00,422.860016,395.199982,404.299988,186017400,52.608025
2011-09-12,373.00,400.50,371.899994,400.50,127972400,52.113567
2011-09-06,367.369995,388.609985,366.480011,377.47998,115077900,49.118176
2011-08-29,388.179993,392.080017,371.830017,374.049988,106422100,48.67186
2011-08-22,364.51001,383.799988,355.089996,383.579987,166562000,49.911915
2011-08-15,379.630005,384.970001,356.00,356.029999,151433900,46.327072
2011-08-08,361.690002,379.640015,353.019989,376.98999,218800900,49.054413
2011-08-01,397.779999,399.50,362.570007,373.619995,203044100,48.61591
2011-07-25,390.350006,404.50,384.00,390.47998,147616500,50.80975
2011-07-18,365.429993,396.27002,365.279999,393.299988,168820100,51.176693
2011-07-11,356.340027,365.00,348.619995,364.919983,110046100,47.483852
2011-07-05,343.00,360.00,342.50,359.709991,105561000,46.80592
2011-06-27,327.589996,343.50,327.25,343.26001,87246300,44.665424
2011-06-20,317.359985,333.149994,310.50,326.350006,126208800,42.465076
2011-06-13,327.200012,333.25,318.330017,320.259979,109442400,41.672634
2011-06-06,345.700012,347.049988,325.509979,325.900024,101724700,42.406521
2011-05-31,341.100006,352.130005,341.00,343.440002,101529400,44.68885
2011-05-23,329.970001,338.559998,329.420013,337.410004,71295500,43.904217
2011-05-16,339.199982,342.410004,330.730011,335.220001,91801200,43.619251
2011-05-09,347.860016,350.00,340.350006,340.50,73547700,44.30629
2011-05-02,349.73999,351.830017,345.50,346.660004,88070700,45.107838
2011-04-25,350.339996,354.98999,345.52002,350.130005,116443100,45.559357
2011-04-18,326.099976,355.130005,320.160004,350.699982,155234600,45.633526
2011-04-11,334.059998,336.140015,326.799988,327.459991,96310600,42.609509
2011-04-04,344.309998,344.600006,333.949982,335.059998,104816800,43.598431
2011-03-28,353.149994,354.320007,343.300018,344.559998,84217100,44.834583
2011-03-21,335.990021,352.059998,335.26001,351.540009,98097100,45.742832
2011-03-14,353.179993,356.47998,326.259979,330.669983,186584300,43.027199
2011-03-07,361.399994,361.669983,344.899994,351.98999,116718200,45.801384
2011-02-28,351.23999,360.290009,347.679993,360.00,120792800,46.843655
2011-02-22,342.149994,348.429993,337.720001,348.160004,151520600,45.30302
2011-02-14,356.790009,364.899994,349.519989,350.559998,121119400,45.615311
2011-02-07,347.889984,360.00,347.640015,356.850006,132246500,46.433773
2011-01-31,335.799988,346.700012,334.299988,346.50,88923600,45.087017
2011-01-24,326.869995,345.600006,326.720001,336.100006,125275500,43.733757
2011-01-18,329.52002,348.600006,326.00,326.720001,283487500,42.513222
2011-01-10,338.829987,348.47998,337.169983,348.47998,90043900,45.344658
2011-01-03,325.640015,336.350006,324.840027,336.119995,81104900,43.736359
2010-12-27,322.850006,326.660004,321.309998,322.559998,46994000,41.971916
2010-12-20,321.599976,325.720001,318.230011,323.600006,70690200,42.107243
2010-12-13,324.369995,325.059998,319.00,320.610016,95854700,41.718182
2010-12-06,318.640015,323.98999,317.110016,320.559998,85926600,41.711674
2010-11-29,315.50,319.00,310.869995,317.440002,110716200,41.305695
2010-11-22,306.679993,317.700012,305.869995,315.00,97739600,40.988197
2010-11-15,308.460022,310.540009,297.76001,306.730011,121002000,39.912098
2010-11-08,317.200012,321.300018,303.630005,308.029999,110333000,40.081253
2010-11-01,302.220001,320.180023,302.200012,317.130005,118495400,41.265358
2010-10-25,309.090027,311.600006,300.869995,300.980011,108297800,39.163898
2010-10-18,318.470001,319.00,300.02002,307.470001,198582800,40.008385
2010-10-11,294.73999,315.00,292.48999,314.73999,148694000,40.954365
2010-10-04,281.600006,294.50,277.769989,294.069977,133747000,38.264759
2010-09-27,293.980011,294.730011,275.00,282.52002,155452700,36.76186
2010-09-20,276.079987,293.529999,275.850006,292.319977,167382300,38.037048
2010-09-13,265.820007,277.960022,265.519989,275.369995,125643900,35.83149
2010-09-07,256.640015,266.52002,256.25,263.410004,105951600,34.275242
2010-08-30,240.76001,258.779999,240.349991,258.77002,121866500,33.671482
2010-08-23,251.790009,252.00,235.559998,241.619995,131418500,31.439901
2010-08-16,247.580002,254.669998,246.62001,249.639999,94585100,32.483471
2010-08-09,261.480011,262.149994,246.119995,249.099991,113244600,32.413204
2010-08-02,260.440002,264.279999,257.630005,260.090027,100003900,33.843243
2010-07-26,260.00,265.990021,254.900009,257.25,130866200,33.473694
2010-07-19,249.880005,265.149994,239.600006,259.940002,223190300,33.823723
2010-07-12,258.529999,261.850006,246.429993,249.900009,221528700,32.517303
2010-07-06,251.00,262.900024,246.160004,259.619995,152578600,33.782082
2010-06-28,266.929993,269.75,243.200012,246.939987,208724100,32.132145
2010-06-21,277.690002,279.009979,265.809998,266.699982,176321400,34.703339
2010-06-14,255.960007,275.00,254.01001,274.070007,181459400,35.662338
2010-06-07,258.290009,259.149994,242.199982,253.509995,203222800,32.987041
2010-06-01,259.690002,265.940002,254.62999,255.960007,185839500,33.30584
2010-05-24,247.279999,259.400024,237.160004,256.880005,206739800,33.425552
2010-05-17,254.700012,258.549988,231.349991,242.319992,253902300,31.530985
2010-05-10,250.25,265.00,248.529984,253.819992,192333400,33.027378
2010-05-03,263.839996,267.880005,199.25,235.860001,251157200,30.690403
2010-04-26,271.880005,272.459991,256.410004,261.089996,152405900,33.973362
2010-04-19,247.029999,272.179993,241.769989,270.829987,193901100,35.240742
2010-04-12,242.199982,251.140015,241.110001,247.399994,108532200,32.192001
2010-04-05,234.980011,241.920013,234.769989,241.789993,133359900,31.462019
2010-03-29,233.00,238.730011,231.619995,235.970001,131366200,30.704714
2010-03-22,220.470001,231.950012,220.150009,230.899994,141989500,30.045
2010-03-15,225.380005,226.449982,220.25,222.25,114646100,28.919451
2010-03-08,220.01001,227.729996,217.889999,226.600006,138419500,29.485479
2010-03-01,205.75,219.699997,205.449997,218.950012,137717700,28.490051
2010-02-22,202.339996,205.169998,195.709991,204.619995,129940500,26.625412
2010-02-16,201.940002,204.309998,200.860001,201.669998,113651800,26.241554
2010-02-08,195.690002,201.639999,194.00,200.37999,134366600,26.073698
2010-02-01,192.369995,200.199997,190.850006,195.460007,183575200,25.433502
2010-01-25,202.51001,213.710007,190.25,192.059998,353741600,24.991091
2010-01-19,208.330002,215.549988,197.160004,197.75,177005100,25.73148
2010-01-11,212.800003,213.00,204.100006,205.929993,134477100,26.795872
2010-01-04,213.429993,215.589996,209.050003,211.980011,128626800,27.583107
2009-12-28,211.720001,213.949997,208.309998,210.730011,115891600,27.420454
2009-12-21,196.050003,209.350006,195.670013,209.040009,112989800,27.20055
2009-12-14,195.369995,197.509995,191.00,195.429993,113292200,25.4296
2009-12-07,193.320007,199.700012,188.680008,194.669998,150469200,25.330706
2009-11-30,201.110001,202.769989,190.279999,193.320007,144074200,25.155045
2009-11-23,203.00,206.00,198.369995,200.589996,85940400,26.101025
2009-11-16,205.480011,208.00,197.759995,199.919998,110251600,26.013844
2009-11-09,196.940002,205.00,196.26001,204.450012,104044600,26.603294
2009-11-02,189.800003,195.190002,185.570007,194.339996,118447700,25.287767
2009-10-26,203.669998,206.75,188.169998,188.50,167353600,24.527859
2009-10-19,187.850006,208.709991,185.550003,203.940002,224458700,26.53693
2009-10-12,191.020004,192.319992,187.839996,188.050003,90826900,24.469305
2009-10-05,186.199997,191.449997,184.270004,190.470001,111268500,24.784197
2009-09-28,183.869995,187.400009,180.699997,184.899994,115021700,24.059422
2009-09-21,184.289993,188.899994,181.440002,182.369995,119207600,23.730215
2009-09-14,170.830002,186.790009,170.25,185.020004,145733000,24.075037
2009-09-08,172.979996,174.470001,169.699997,172.160004,122889300,22.401678
2009-08-31,168.160004,170.699997,164.110001,170.309998,90659900,22.160954
2009-08-24,170.119995,172.48999,164.829987,170.049988,96908200,22.127121
2009-08-17,163.550003,169.37001,159.419998,169.220001,106345500,22.019121
2009-08-10,165.660004,168.669998,161.87999,166.779999,92325200,21.701624
2009-08-03,165.210007,167.389999,163.089996,165.509995,97110300,21.536369
2009-07-27,160.169998,165.00,157.259995,163.389999,103558200,21.260513
2009-07-20,153.269989,160.00,149.75,159.990005,172486800,20.818102
2009-07-13,139.540009,152.019989,137.529999,151.75,115603000,19.745903
2009-07-06,138.699997,139.680008,134.420013,138.520004,116225700,18.024399
2009-06-29,143.459991,144.660004,139.789993,140.020004,111656100,18.21958
2009-06-22,140.669998,143.559998,132.880005,142.440002,142790200,18.534473
2009-06-15,136.01001,139.50,134.529999,139.479996,138775200,18.149315
2009-06-08,143.819992,144.559998,136.040009,136.970001,169257400,17.82271
2009-06-01,136.470001,146.399994,136.00,144.669998,132863600,18.824644
2009-05-26,124.759995,135.899994,124.549995,135.809998,139214700,17.671768
2009-05-18,123.730003,129.309998,121.570007,122.50,96289600,15.939855
2009-05-11,127.370003,130.959991,119.379997,122.419998,121275200,15.929445
2009-05-04,128.23999,133.50,126.26001,129.190002,124044600,16.810368
2009-04-27,122.899994,127.950005,122.660004,127.240005,114533100,16.556629
2009-04-20,121.729996,127.199997,118.600006,123.900009,168091900,16.122025
2009-04-13,120.009995,124.25,115.76001,123.419998,117384100,16.059566
2009-04-06,114.940002,120.00,113.279999,119.57,136314500,15.558599
2009-03-30,104.510002,116.130005,102.610001,115.989998,155542800,15.092765
2009-03-23,102.709999,109.980003,101.75,106.850006,153137600,13.903458
2009-03-16,96.529999,103.479996,94.18,101.590004,178784700,13.21902
2009-03-09,84.18,97.200005,82.57,95.93,187927700,12.482533
2009-03-02,88.120003,92.770004,82.330002,85.300003,197736000,11.099344
2009-02-23,91.650002,92.919998,86.509995,89.309998,188183300,11.62113
2009-02-17,96.870003,97.040001,89.00,91.199997,189758600,11.867059
2009-02-09,100.00,103.00,95.770004,99.160004,183260500,12.902824
2009-02-02,89.100006,100.00,88.900002,99.720001,170121700,12.975693
2009-01-26,88.860001,95.00,88.299995,90.129997,170794500,11.72783
2009-01-20,81.93,90.00,78.199997,88.360001,261405200,11.497515
2009-01-12,90.459999,90.989998,80.050003,82.330002,265851800,10.712884
2009-01-05,93.170006,97.169998,90.040001,90.579994,222215700,11.786384
